* Index_NASDAQ100_Filu.csv
* RefSymbol;Weight

AAPL;1
ADBE;1
ADSK;1
AKAM;1
ALTR;1
AMAT;1
AMGN;1
AMLN;1
AMZN;1
APOL;1
ATVI;1
BBBY;1
BEAS;1
BIIB;1
BMET;1
BRCM;1
CDNS;1
CDWC;1
CELG;1
CHKP;1
CHRW;1
CKFR;1
CMCSA;1
COST;1
CSCO;1
CTAS;1
CTSH;1
CTXS;1
DELL;1
DISCA;1
DISH;1
EBAY;1
ERIC;1
ERTS;1
ESRX;1
EXPD;1
EXPE;1
FAST;1
FISV;1
FLEX;1
GENZ;1
GILD;1
GOOG;1
GRMN;1
IACI;1
INFY;1
INTC;1
INTU;1
ISRG;1
JNPR;1
JOYG;1
KLAC;1
LAMR;1
LBTYA;1
LINTA;1
LLTC;1
LOGI;1
LRCX;1
LVLT;1
MCHP;1
MEDI;1
MICC;1
MNST;1
MRVL;1
MSFT;1
MXIM;1
NIHD;1
NTAP;1
NVDA;1
ORCL;1
PAYX;1
PCAR;1
PDCO;1
PETM;1
PTEN;1
QCOM;1
RIMM;1
ROST;1
RYAAY;1
SBUX;1
SEPR;1
SHLD;1
SIAL;1
SIRI;1
SNDK;1
SPLS;1
SUNW;1
SYMC;1
TEVA;1
TLAB;1
UAUA;1
VMED;1
VRSN;1
VRTX;1
WFMI;1
WYNN;1
XLNX;1
XMSR;1
XRAY;1
YHOO;1
