[Header]MarketName;MarketSymbol;Currency;CurrencySymbol;OpenTime;CloseTime;Lunch;Location

Australian Securities Exchange;Sydney;Australian Dollar;AUD;;;;
Euronext Paris;Euronext;Euro;EUR;;;;
Frankfurt Stock Exchange;Frankfurt;Euro;EUR;;;;
Hong Kong Stock Exchange;HongKong;Hong Kong Dollar;HKD;;;;
London Stock Exchange;London;Pound Sterling;GBP;;;;
NYSE/NASDAQ;NewYork;US Dollar;USD;;;;
Shanghai Stock Exchange;Shanghai;Renminbi;CNY;;;;
Shenzhen Stock Exchange;Shenzhen;Renminbi;CNY;;;;
Tokyo Stock Exchange;Tokyo;Japanese Yen;JPY;;;;
Xetra Trading Platform;Xetra;Euro;EUR;;;;
